district,state,stCode,dtCode,lat,lon
Adilabad,Andhra Pradesh,28,1,19.29892,79.080817
Agra,Uttar Pradesh,9,15,27.074561,77.891578
Ahmadabad,Gujarat,24,7,22.742942,72.296383
Ahmadnagar,Maharashtra,27,26,19.156936,74.85524
Aizawl,Mizoram,15,3,23.843863,92.910976
Ajmer,Rajasthan,8,21,26.326428,74.71542
Akola,Maharashtra,27,5,20.761769,77.191235
Alappuzha,Kerala,32,11,9.490716,76.414643
Aligarh,Uttar Pradesh,9,12,27.872911,78.139228
Alirajpur,Madhya Pradesh,23,48,22.28637,74.356137
Allahabad,Uttar Pradesh,9,44,25.27805,81.903528
Almora,Uttarakhand,5,9,29.703731,79.426962
Alwar,Rajasthan,8,6,27.638074,76.616287
Ambala,Haryana,6,2,30.347144,76.959245
Ambedkar Nagar,Uttar Pradesh,9,47,26.405992,82.568652
Amravati,Maharashtra,27,7,21.154179,77.643078
Amreli,Gujarat,24,13,21.421609,71.279132
Amritsar,Punjab,3,15,31.767958,74.833728
Anand,Gujarat,24,15,22.468645,72.734647
Anantapur,Andhra Pradesh,28,22,14.456989,77.509448
Anantnag,Jammu & Kashmir,1,14,33.783419,75.291321
Anjaw,Arunanchal Pradesh,12,16,28.037332,96.846165
Anugul,Odisha,21,15,21.104142,84.958108
Anuppur,Madhya Pradesh,23,44,23.033836,81.753392
Araria,Bihar,10,7,26.265188,87.362993
Ariyalur,Tamil Nadu,33,15,11.150387,79.261566
Ashoknagar,Madhya Pradesh,23,42,24.620043,77.876354
Auraiya,Uttar Pradesh,9,31,26.656149,79.515657
Aurangabad,Bihar,10,33,24.806855,84.414794
Aurangabad,Maharashtra,27,19,20.024932,75.156144
Azamgarh,Uttar Pradesh,9,60,26.043249,83.020689
Badgam,Jammu & Kashmir,1,2,33.865562,74.64896
Bagalkot,Karnataka,29,2,16.289654,75.580474
Bageshwar,Uttarakhand,5,8,29.99946,79.816793
Baghpat,Uttar Pradesh,9,8,29.03963,77.314688
Bahraich,Uttar Pradesh,9,49,27.730291,81.476837
Baksa,Assam,18,25,26.647722,91.456531
Balaghat,Madhya Pradesh,23,40,21.858344,80.324455
Balangir,Odisha,21,24,20.608268,83.169127
Baleshwar,Odisha,21,8,21.518601,86.893781
Ballia,Uttar Pradesh,9,62,25.873493,84.129132
Balrampur,Uttar Pradesh,9,51,27.447378,82.403715
Banas Kantha,Gujarat,24,2,24.269944,72.170978
Banda,Uttar Pradesh,9,39,25.444742,80.562127
Bandipore,Jammu & Kashmir,1,9,34.595079,74.732653
Bangalore Rural,Karnataka,29,29,13.180922,77.339597
Bangalore,Karnataka,29,18,12.943591,77.553068
Banka,Bihar,10,23,24.831441,86.818103
Bankura,West Bengal,19,13,23.133492,87.206494
Banswara,Rajasthan,8,27,23.491249,74.353228
Bara Banki,Uttar Pradesh,9,45,26.941327,81.384465
Bargarh,Odisha,21,1,21.23482,83.5689
Baramula,Jammu & Kashmir,1,8,34.125475,74.531493
Baran,Rajasthan,8,30,24.918341,76.692167
Barddhaman,West Bengal,19,9,23.408083,87.899871
Bareilly,Uttar Pradesh,9,19,28.453757,79.389841
Barmer,Rajasthan,8,17,25.579905,71.618675
Barnala,Punjab,3,20,30.387694,75.488608
Barpeta,Assam,18,4,26.377603,91.054375
Barwani,Madhya Pradesh,23,24,21.752059,74.894031
Bastar,Chhattisgarh,22,15,19.44551,81.791928
Basti,Uttar Pradesh,9,54,26.832044,82.550556
Bathinda,Punjab,3,12,30.177424,75.048867
Bauda,Odisha,21,22,20.64372,84.002047
Begusarai,Bihar,10,20,25.512445,86.090082
Belgaum,Karnataka,29,1,16.163303,74.889388
Bellary,Karnataka,29,11,15.197824,76.709884
Betul,Madhya Pradesh,23,30,21.879919,77.875521
Bhadrak,Odisha,21,9,20.985995,86.598081
Bhagalpur,Bihar,10,22,25.28177,87.135367
Bhandara,Maharashtra,27,10,21.12111,79.793722
Bharatpur,Rajasthan,8,7,27.263163,77.371401
Bharuch,Gujarat,24,21,21.833614,72.882949
Bhavnagar,Gujarat,24,14,21.674726,71.935436
Bhilwara,Rajasthan,8,24,25.48838,74.70237
Bhind,Madhya Pradesh,23,3,26.34976,78.686857
Bhiwani,Haryana,6,13,28.731311,75.968083
Bhojpur,Bihar,10,29,25.452614,84.56466
Bhopal,Madhya Pradesh,23,27,23.493102,77.396762
Bid,Maharashtra,27,27,18.947344,75.670902
Bidar,Karnataka,29,4,18.019139,77.256144
Bijapur,Chhattisgarh,22,18,18.771281,80.741673
Bijapur,Karnataka,29,3,16.81568,75.882334
Bijnor,Uttar Pradesh,9,3,29.409405,78.483016
Bikaner,Rajasthan,8,3,28.118966,73.113108
Bilaspur,Chhattisgarh,22,7,22.413336,81.837513
